3.19E-02	 { 6.3e-05 } 	1.50E-04	 { 2.9e-07 } 	9.86E-05	 { 1.9e-07 } 	1.89E-04	 { 6.8e-05 } 	2.10E-06	 { 3.5e-08 } 	5.01E-05	 { 1.9e-07 } 	2.86E-04	 { 3.6e-07 } 	4.36E-06	 { 6.3e-08 } 	1.51E+00	 { 5.5e-01 } 	2.08E+00	 { 4.6e-02 } 	3.24E+02	 { 9.0e-01 } 	'step6' run on 15 May 2013 at 12:58	 Raw data stored in - C:\Nu Noble\Results\Data_1109.RUN
4.51E-02	 { 7.8e-05 } 	1.10E-04	 { 2.3e-07 } 	1.39E-04	 { 2.4e-07 } 	2.37E-04	 { 5.1e-05 } 	2.39E-06	 { 4.0e-08 } 	5.11E-05	 { 2.2e-07 } 	2.25E-04	 { 3.1e-07 } 	3.82E-06	 { 5.6e-08 } 	9.47E-01	 { 2.0e-01 } 	1.60E+00	 { 3.6e-02 } 	3.24E+02	 { 7.9e-01 } 	'step7' run on 15 May 2013 at 13:24	 Raw data stored in - C:\Nu Noble\Results\Data_1110.RUN
5.23E-02	 { 7.6e-05 } 	7.88E-05	 { 2.0e-07 } 	1.60E-04	 { 2.9e-07 } 	1.61E-04	 { 4.6e-05 } 	2.32E-06	 { 3.5e-08 } 	5.10E-05	 { 2.3e-07 } 	1.47E-04	 { 2.8e-07 } 	3.82E-06	 { 5.4e-08 } 	9.10E-01	 { 2.6e-01 } 	1.65E+00	 { 3.4e-02 } 	3.26E+02	 { 7.5e-01 } 	'step8' run on 15 May 2013 at 13:49	 Raw data stored in - C:\Nu Noble\Results\Data_1111.RUN
6.27E-01	 { 2.1e-04 } 	4.36E-04	 { 7.1e-07 } 	1.94E-03	 { 1.3e-06 } 	3.92E-04	 { 6.1e-05 } 	6.50E-06	 { 2.5e-07 } 	4.73E-05	 { 1.6e-07 } 	4.64E-04	 { 4.8e-07 } 	3.18E-06	 { 5.9e-08 } 	1.18E+00	 { 1.8e-01 } 	4.90E-01	 { 2.1e-02 } 	3.23E+02	 { 2.5e-01 } 	'FZ53B11 step1' run on 16 May 2013 at 11:21	 Raw data stored in - C:\Nu Noble\Results\Data_1112.RUN
5.01E-01	 { 1.3e-04 } 	3.94E-04	 { 6.0e-07 } 	1.53E-03	 { 9.9e-07 } 	2.25E-03	 { 4.3e-05 } 	5.67E-06	 { 1.7e-07 } 	4.76E-05	 { 1.8e-07 } 	2.32E-03	 { 1.2e-06 } 	3.35E-06	 { 5.5e-08 } 	1.03E+00	 { 2.0e-02 } 	5.92E-01	 { 2.0e-02 } 	3.27E+02	 { 2.3e-01 } 	'Sample Name' run on 16 May 2013 at 11:33	 Raw data stored in - C:\Nu Noble\Results\Data_1113.RUN
2.76E-01	 { 1.0e-04 } 	3.86E-04	 { 5.4e-07 } 	8.01E-04	 { 6.6e-07 } 	7.93E-03	 { 6.9e-05 } 	4.77E-06	 { 1.6e-07 } 	4.83E-05	 { 1.8e-07 } 	7.85E-03	 { 3.5e-06 } 	3.10E-06	 { 4.8e-08 } 	9.89E-01	 { 8.6e-03 } 	6.51E-01	 { 2.4e-02 } 	3.45E+02	 { 3.1e-01 } 	'stp3 311A FZ53B11' run on 16 May 2013 at 11:57	 Raw data stored in - C:\Nu Noble\Results\Data_1114.RUN
5.35E-02	 { 6.8e-05 } 	1.33E-04	 { 2.8e-07 } 	1.22E-04	 { 2.7e-07 } 	6.78E-03	 { 5.7e-05 } 	2.84E-06	 { 8.0e-08 } 	4.85E-05	 { 1.8e-07 } 	6.76E-03	 { 3.9e-06 } 	3.20E-06	 { 4.9e-08 } 	9.97E-01	 { 8.4e-03 } 	1.13E+00	 { 3.6e-02 } 	4.40E+02	 { 1.1e+00 } 	'st8 448A' run on 16 May 2013 at 14:04	 Raw data stored in - C:\Nu Noble\Results\Data_1119.RUN
1.03E-01	 { 6.8e-05 } 	1.05E-04	 { 2.8e-07 } 	3.10E-04	 { 4.3e-07 } 	2.09E-03	 { 5.7e-05 } 	3.19E-06	 { 8.0e-08 } 	4.92E-05	 { 1.9e-07 } 	1.98E-03	 { 1.4e-06 } 	4.81E-06	 { 5.5e-08 } 	9.45E-01	 { 2.6e-02 } 	1.51E+00	 { 4.2e-02 } 	3.33E+02	 { 5.1e-01 } 	'Sample Name' run on 16 May 2013 at 14:35	 Raw data stored in - C:\Nu Noble\Results\Data_1120.RUN
6.67E-01	 { 4.1e-04 } 	5.16E-04	 { 4.8e-07 } 	2.20E-03	 { 1.6e-06 } 	1.23E-03	 { 5.7e-05 } 	1.38E-05	 { 1.4e-07 } 	5.51E-05	 { 1.9e-07 } 	1.02E-03	 { 1.1e-06 } 	3.02E-06	 { 7.6e-08 } 	8.27E-01	 { 3.8e-02 } 	2.18E-01	 { 5.9e-03 } 	3.04E+02	 { 2.9e-01 } 	'FZ 51-1 step1 278A' run on 22 May 2013 at 11:35	 Raw data stored in - C:\Nu Noble\Results\Data_1182.RUN
5.37E-01	 { 6.0e-04 } 	6.45E-04	 { 6.8e-07 } 	1.69E-03	 { 2.6e-06 } 	5.17E-03	 { 1.0e-04 } 	1.44E-05	 { 2.8e-07 } 	5.62E-05	 { 4.0e-07 } 	5.54E-03	 { 5.1e-06 } 	2.81E-06	 { 1.0e-07 } 	1.07E+00	 { 2.2e-02 } 	1.95E-01	 { 8.1e-03 } 	3.18E+02	 { 6.1e-01 } 	'Sample Name' run on 22 May 2013 at 12:10	 Raw data stored in - C:\Nu Noble\Results\Data_1183.RUN
3.91E-01	 { 1.8e-04 } 	4.67E-04	 { 7.2e-07 } 	1.24E-03	 { 8.6e-07 } 	3.88E-03	 { 6.2e-05 } 	2.34E-05	 { 1.7e-07 } 	6.01E-05	 { 1.9e-07 } 	4.00E-03	 { 1.9e-06 } 	1.21E-05	 { 9.7e-08 } 	1.03E+00	 { 1.7e-02 } 	5.16E-01	 { 5.6e-03 } 	3.15E+02	 { 2.6e-01 } 	'same gas new quads' run on 22 May 2013 at 13:07	 Raw data stored in - C:\Nu Noble\Results\Data_1184.RUN
5.36E-02	 { 5.4e-05 } 	2.73E-04	 { 4.0e-07 } 	9.89E-05	 { 2.2e-07 } 	8.60E-03	 { 5.4e-05 } 	2.11E-05	 { 1.5e-07 } 	6.07E-05	 { 2.0e-07 } 	8.94E-03	 { 4.4e-06 } 	1.18E-05	 { 9.5e-08 } 	1.04E+00	 { 6.6e-03 } 	5.58E-01	 { 6.0e-03 } 	5.42E+02	 { 1.3e+00 } 	'Sample Name' run on 22 May 2013 at 16:24	 Raw data stored in - C:\Nu Noble\Results\Data_1190.RUN
2.62E-02	 { 5.6e-05 } 	4.93E-05	 { 1.6e-07 } 	7.81E-05	 { 1.6e-07 } 	4.13E-04	 { 4.5e-05 } 	2.15E-05	 { 1.4e-07 } 	6.04E-05	 { 2.2e-07 } 	6.60E-04	 { 7.5e-07 } 	1.13E-05	 { 1.0e-07 } 	1.60E+00	 { 1.8e-01 } 	5.27E-01	 { 5.9e-03 } 	3.35E+02	 { 1.0e+00 } 	'step10 FZ 51-1' run on 22 May 2013 at 16:53	 Raw data stored in - C:\Nu Noble\Results\Data_1191.RUN
1.21E+00	 { 1.8e-03 } 	8.00E-04	 { 1.6e-06 } 	4.09E-03	 { 4.3e-06 } 	7.07E-04	 { 7.5e-05 } 	2.59E-05	 { 4.6e-07 } 	5.60E-05	 { 2.5e-07 } 	6.67E-04	 { 1.2e-06 } 	1.04E-05	 { 1.1e-07 } 	9.45E-01	 { 1.0e-01 } 	4.00E-01	 { 8.3e-03 } 	2.96E+02	 { 5.3e-01 } 	'SC256musc 280A' run on 05 June 2013 at 12:13	 Raw data stored in - C:\Nu Noble\Results\Data_1192.RUN
6.51E-01	 { 6.4e-04 } 	5.00E-04	 { 8.7e-07 } 	1.95E-03	 { 2.0e-06 } 	7.19E-03	 { 6.4e-05 } 	2.33E-05	 { 2.5e-07 } 	5.81E-05	 { 2.0e-07 } 	7.65E-03	 { 6.6e-06 } 	9.90E-06	 { 1.3e-07 } 	1.06E+00	 { 9.6e-03 } 	4.25E-01	 { 7.1e-03 } 	3.33E+02	 { 4.7e-01 } 	'SC256 step2' run on 05 June 2013 at 12:45	 Raw data stored in - C:\Nu Noble\Results\Data_1193.RUN
6.70E-02	 { 8.6e-05 } 	8.89E-05	 { 3.2e-07 } 	1.12E-04	 { 4.3e-07 } 	5.13E-03	 { 8.2e-05 } 	2.09E-05	 { 1.8e-07 } 	5.88E-05	 { 2.4e-07 } 	5.17E-03	 { 3.6e-06 } 	1.05E-05	 { 1.3e-07 } 	1.01E+00	 { 1.6e-02 } 	5.01E-01	 { 7.4e-03 } 	5.98E+02	 { 2.4e+00 } 	'Sample Name' run on 05 June 2013 at 16:28	 Raw data stored in - C:\Nu Noble\Results\Data_1198.RUN
1.03E-01	 { 8.2e-05 } 	1.22E-04	 { 4.0e-07 } 	2.19E-04	 { 4.8e-07 } 	5.24E-03	 { 9.2e-05 } 	2.11E-05	 { 1.4e-07 } 	5.97E-05	 { 2.9e-07 } 	5.55E-03	 { 3.6e-06 } 	9.81E-06	 { 1.2e-07 } 	1.06E+00	 { 1.9e-02 } 	4.65E-01	 { 6.5e-03 } 	4.68E+02	 { 1.1e+00 } 	'SC 256 msc step8' run on 05 June 2013 at 16:46	 Raw data stored in - C:\Nu Noble\Results\Data_1199.RUN
2.08E-01	 { 7.7e-05 } 	1.87E-04	 { 4.0e-07 } 	5.79E-04	 { 9.8e-07 } 	4.31E-03	 { 6.2e-05 } 	2.20E-05	 { 1.6e-07 } 	5.97E-05	 { 2.0e-07 } 	4.34E-03	 { 2.2e-06 } 	1.00E-05	 { 1.3e-07 } 	1.01E+00	 { 1.5e-02 } 	4.55E-01	 { 6.9e-03 } 	3.59E+02	 { 6.2e-01 } 	'SC 256 msc step9' run on 05 June 2013 at 17:16	 Raw data stored in - C:\Nu Noble\Results\Data_1200.RUN
4.61E-01	 { 9.5e-04 } 	2.99E-04	 { 6.1e-07 } 	1.31E-03	 { 2.8e-06 } 	5.96E-05	 { 1.0e-04 } 	4.40E-05	 { 2.7e-07 } 	9.78E-05	 { 3.5e-07 } 	2.93E-05	 { 2.1e-07 } 	1.57E-05	 { 1.4e-07 } 	4.91E-01	 { 8.4e-01 } 	3.58E-01	 { 3.9e-03 } 	3.53E+02	 { 1.0e+00 } 	'Sample Name' run on 31 July 2013 at 16:36	 Raw data stored in - C:\Nu Noble\Results\Data_1208.RUN
5.54E-01	 { 2.4e-02 } 	2.60E-04	 { 1.2e-05 } 	1.03E-03	 { 4.6e-05 } 	5.06E-04	 { 1.4e-04 } 	5.44E-04	 { 2.4e-05 } 	6.60E-05	 { 7.6e-07 } 	5.53E-04	 { 3.1e-05 } 	2.70E-04	 { 1.8e-05 } 	1.09E+00	 { 3.2e-01 } 	4.97E-01	 { 4.0e-02 } 	5.38E+02	 { 3.3e+01 } 	'Sample Name' run on 31 July 2013 at 17:11	 Raw data stored in - C:\Nu Noble\Results\Data_1209.RUN
1.59E-02	 { 2.9e-04 } 	7.92E-06	 { 1.7e-07 } 	3.32E-05	 { 6.2e-07 } 	1.47E-04	 { 6.8e-05 } 	5.11E-05	 { 5.9e-07 } 	7.00E-05	 { 4.1e-07 } 	5.75E-05	 { 6.4e-07 } 	4.63E-05	 { 5.0e-07 } 	3.92E-01	 { 1.8e-01 } 	9.07E-01	 { 1.4e-02 } 	4.80E+02	 { 1.2e+01 } 	'remelt MMhb-beta 461A' run on 02 August 2013 at 15:00	 Raw data stored in - C:\Nu Noble\Results\Data_1217.RUN
7.34E-02	 { 1.8e-03 } 	4.90E-05	 { 1.2e-06 } 	2.59E-04	 { 6.4e-06 } 	8.44E-05	 { 8.3e-05 } 	3.01E-05	 { 3.5e-07 } 	6.94E-05	 { 3.5e-07 } 	6.21E-05	 { 7.9e-07 } 	2.60E-05	 { 2.9e-07 } 	7.36E-01	 { 7.2e-01 } 	8.65E-01	 { 1.4e-02 } 	2.84E+02	 { 1.0e+01 } 	'Rongbuk st1' run on 02 August 2013 at 15:26	 Raw data stored in - C:\Nu Noble\Results\Data_1218.RUN
2.82E-01	 { 6.3e-04 } 	1.78E-04	 { 5.2e-07 } 	9.22E-04	 { 1.5e-06 } 	8.34E-05	 { 8.1e-05 } 	6.42E-05	 { 2.6e-07 } 	1.03E-04	 { 3.5e-07 } 	1.12E-04	 { 4.2e-07 } 	5.28E-05	 { 2.5e-07 } 	1.35E+00	 { 1.3e+00 } 	8.22E-01	 { 5.1e-03 } 	3.06E+02	 { 8.4e-01 } 	'same gas retuned' run on 02 August 2013 at 15:37	 Raw data stored in - C:\Nu Noble\Results\Data_1219.RUN
7.42E-02	 { 2.0e-04 } 	4.95E-05	 { 2.8e-07 } 	2.47E-04	 { 6.4e-07 } 	9.01E-05	 { 6.7e-05 } 	5.98E-05	 { 3.1e-07 } 	1.04E-04	 { 3.5e-07 } 	2.10E-05	 { 2.5e-07 } 	4.70E-05	 { 2.5e-07 } 	2.33E-01	 { 1.7e-01 } 	7.87E-01	 { 5.8e-03 } 	3.00E+02	 { 1.1e+00 } 	'stp2 rongbuk' run on 02 August 2013 at 15:49	 Raw data stored in - C:\Nu Noble\Results\Data_1220.RUN
2.06E-02	 { 9.2e-05 } 	1.65E-05	 { 1.7e-07 } 	7.99E-05	 { 5.6e-07 } 	1.13E-05	 { 6.6e-05 } 	6.11E-05	 { 5.4e-07 } 	9.95E-05	 { 2.8e-07 } 	2.63E-05	 { 2.6e-07 } 	4.75E-05	 { 2.8e-07 } 	2.34E+00	 { 1.4e+01 } 	7.77E-01	 { 8.3e-03 } 	2.58E+02	 { 2.1e+00 } 	'rongbuk st3' run on 02 August 2013 at 16:06	 Raw data stored in - C:\Nu Noble\Results\Data_1221.RUN
2.39E-02	 { 1.2e-04 } 	1.91E-05	 { 1.5e-07 } 	8.83E-05	 { 4.4e-07 } 	1.09E-04	 { 7.5e-05 } 	6.16E-05	 { 5.6e-07 } 	9.69E-05	 { 3.6e-07 } 	3.62E-05	 { 3.5e-07 } 	5.00E-05	 { 3.9e-07 } 	3.32E-01	 { 2.3e-01 } 	8.12E-01	 { 9.7e-03 } 	2.71E+02	 { 1.9e+00 } 	'rongbuk stp4' run on 02 August 2013 at 16:24	 Raw data stored in - C:\Nu Noble\Results\Data_1222.RUN
9.69E-01	 { 4.0e-04 } 	9.44E-04	 { 8.1e-07 } 	3.34E-03	 { 5.1e-06 } 	5.08E-05	 { 5.9e-05 } 	1.84E-05	 { 4.6e-07 } 	3.69E-05	 { 2.1e-07 } 	5.95E-05	 { 2.7e-07 } 	1.35E-05	 { 1.5e-07 } 	1.17E+00	 { 1.4e+00 } 	7.37E-01	 { 2.0e-02 } 	2.90E+02	 { 4.6e-01 } 	'step 1 FZ50B2' run on 09 December 2013 at 10:54	 Raw data stored in - C:\Nu Noble\Results\Data_1245.RUN
7.71E-01	 { 2.4e-04 } 	1.33E-03	 { 1.1e-06 } 	2.54E-03	 { 3.2e-06 } 	3.07E-03	 { 7.5e-05 } 	1.77E-05	 { 3.3e-07 } 	3.77E-05	 { 2.2e-07 } 	3.12E-03	 { 1.7e-06 } 	2.08E-05	 { 1.9e-07 } 	1.02E+00	 { 2.5e-02 } 	1.18E+00	 { 2.4e-02 } 	3.03E+02	 { 3.9e-01 } 	'STEP 2 FZ50B2' run on 09 December 2013 at 11:18	 Raw data stored in - C:\Nu Noble\Results\Data_1246.RUN
2.66E-01	 { 1.7e-04 } 	7.68E-04	 { 8.0e-07 } 	7.55E-04	 { 9.9e-07 } 	2.39E-03	 { 6.9e-05 } 	1.44E-05	 { 2.0e-07 } 	3.87E-05	 { 2.4e-07 } 	2.51E-03	 { 2.9e-06 } 	1.91E-05	 { 1.9e-07 } 	1.05E+00	 { 3.1e-02 } 	1.33E+00	 { 2.3e-02 } 	3.53E+02	 { 5.1e-01 } 	'STEP 3 FZ50B2' run on 09 December 2013 at 11:40	 Raw data stored in - C:\Nu Noble\Results\Data_1247.RUN
1.75E-01	 { 1.2e-04 } 	1.02E-03	 { 1.3e-06 } 	4.17E-04	 { 6.0e-07 } 	5.19E-03	 { 8.2e-05 } 	1.45E-05	 { 2.0e-07 } 	3.85E-05	 { 2.4e-07 } 	5.28E-03	 { 4.8e-06 } 	2.49E-05	 { 2.9e-07 } 	1.02E+00	 { 1.6e-02 } 	1.72E+00	 { 3.1e-02 } 	4.19E+02	 { 6.7e-01 } 	'STEP3 FZ50B2' run on 09 December 2013 at 12:03	 Raw data stored in - C:\Nu Noble\Results\Data_1248.RUN
