9.02731e+00, { 3.2e-03 } ,4.73070e-04, { 7.0e-07 } ,6.61798e-04, { 7.6e-07 } ,6.77309e-04, { 1.6e-05 } ,5.68811e-04, { 7.9e-07 } ,2.83313e-02, { 1.7e-05 } ,4.68669e-05, { 1.8e-07 } ,1.54710e-05, { 1.1e-07 } ,8.59493e-01, { 1.6e-03 } ,1.36406e+04, { 1.6e+01 } ,1.58705e+04, { 2.3e+01 } ,'E130 st8' run on 05 October 2022 at 12:25, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_12981.RUN
6.84978e+00, { 2.4e-03 } ,4.92257e-04, { 6.4e-07 } ,1.29792e-03, { 1.1e-06 } ,6.84581e-04, { 1.5e-05 } ,1.11743e-03, { 9.1e-07 } ,2.07282e-02, { 1.4e-05 } ,7.82594e-05, { 2.5e-07 } ,1.57734e-05, { 1.1e-07 } ,8.60933e-01, { 9.9e-04 } ,5.27749e+03, { 4.7e+00 } ,6.12996e+03, { 5.4e+00 } ,'E130 st9' run on 05 October 2022 at 12:43, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_12982.RUN
6.13173e+00, { 2.0e-03 } ,9.49299e-04, { 7.8e-07 } ,1.25148e-03, { 1.1e-06 } ,1.26531e-03, { 1.5e-05 } ,1.05145e-03, { 9.3e-07 } ,4.03176e-02, { 2.3e-05 } ,3.29848e-05, { 1.3e-07 } ,1.36131e-05, { 1.0e-07 } ,8.40169e-01, { 1.0e-03 } ,4.89960e+03, { 4.4e+00 } ,5.83168e+03, { 5.5e+00 } ,'LP6-C st2' run on 17 October 2022 at 13:19, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_12987.RUN
1.46712e+01, { 6.7e-03 } ,2.22023e-03, { 1.6e-06 } ,2.50585e-03, { 1.4e-06 } ,2.96240e-03, { 1.7e-05 } ,2.09966e-03, { 1.3e-06 } ,9.77216e-02, { 4.3e-05 } ,4.97325e-05, { 1.8e-07 } ,1.54261e-05, { 1.0e-07 } ,8.37903e-01, { 7.2e-04 } ,5.85476e+03, { 4.3e+00 } ,6.98739e+03, { 5.5e+00 } ,'LP6-C st3' run on 17 October 2022 at 13:38, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_12988.RUN
5.43793e-01, { 2.6e-04 } ,3.02534e-04, { 5.1e-07 } ,2.20884e-04, { 3.9e-07 } ,3.93792e-04, { 1.3e-05 } ,1.91104e-04, { 3.7e-07 } ,2.42251e-02, { 1.9e-05 } ,1.34516e-05, { 9.8e-08 } ,1.44121e-05, { 1.0e-07 } ,8.65178e-01, { 2.3e-03 } ,2.46189e+03, { 4.5e+00 } ,2.84554e+03, { 5.7e+00 } ,'E132 st6' run on 19 October 2022 at 11:25, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_13014.RUN
5.35465e-01, { 2.0e-04 } ,3.09671e-04, { 4.8e-07 } ,2.11337e-04, { 3.4e-07 } ,3.97052e-04, { 1.2e-05 } ,1.81271e-04, { 3.4e-07 } ,2.44271e-02, { 1.7e-05 } ,1.08041e-05, { 9.2e-08 } ,1.47043e-05, { 8.4e-08 } ,8.57734e-01, { 2.1e-03 } ,2.53370e+03, { 4.2e+00 } ,2.95395e+03, { 5.7e+00 } ,'E133 st7' run on 19 October 2022 at 11:40, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_13015.RUN
7.90289e-01, { 3.1e-04 } ,4.71500e-04, { 5.7e-07 } ,3.91809e-04, { 5.4e-07 } ,5.84074e-04, { 1.3e-05 } ,3.36704e-04, { 4.3e-07 } ,3.50528e-02, { 2.4e-05 } ,1.02885e-05, { 8.6e-08 } ,1.49317e-05, { 1.1e-07 } ,8.59359e-01, { 1.6e-03 } ,2.01703e+03, { 2.9e+00 } ,2.34713e+03, { 3.1e+00 } ,'E133 st8' run on 19 October 2022 at 11:56, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_13016.RUN
2.38173e+00, { 1.0e-03 } ,3.66684e-04, { 5.0e-07 } ,8.60606e-04, { 8.9e-07 } ,5.18351e-04, { 1.3e-05 } ,7.28991e-04, { 8.2e-07 } ,2.25944e-02, { 1.5e-05 } ,6.31324e-06, { 7.0e-08 } ,1.40895e-05, { 1.1e-07 } ,8.47067e-01, { 1.3e-03 } ,2.76750e+03, { 3.1e+00 } ,3.26716e+03, { 3.9e+00 } ,'MA-11 st8' run on 03 November 2022 at 15:47, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_13038.RUN
4.52400e+00, { 1.7e-03 } ,6.38649e-04, { 6.2e-07 } ,1.13721e-03, { 9.3e-07 } ,8.61217e-04, { 1.4e-05 } ,9.63947e-04, { 1.0e-06 } ,4.45903e-02, { 2.4e-05 } ,7.23832e-06, { 7.2e-08 } ,1.45057e-05, { 1.1e-07 } ,8.47642e-01, { 1.1e-03 } ,3.97816e+03, { 3.6e+00 } ,4.69321e+03, { 5.2e+00 } ,'MA-11 st9' run on 03 November 2022 at 16:27, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_13039.RUN
3.15968e+00, { 1.5e-03 } ,4.71750e-04, { 6.4e-07 } ,7.68571e-04, { 7.7e-07 } ,6.53918e-04, { 1.3e-05 } ,6.54373e-04, { 7.1e-07 } ,3.25705e-02, { 2.3e-05 } ,6.25309e-06, { 7.8e-08 } ,1.33184e-05, { 1.1e-07 } ,8.51415e-01, { 1.3e-03 } ,4.11111e+03, { 4.6e+00 } ,4.82856e+03, { 5.7e+00 } ,'MA-19 st6' run on 14 November 2022 at 15:53, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_13048.RUN
2.58190e+00, { 1.1e-03 } ,4.37745e-04, { 4.6e-07 } ,1.07373e-03, { 7.4e-07 } ,5.72368e-04, { 1.4e-05 } ,9.09647e-04, { 8.9e-07 } ,2.49541e-02, { 2.0e-05 } ,5.76533e-06, { 8.3e-08 } ,1.34252e-05, { 8.5e-08 } ,8.47183e-01, { 1.0e-03 } ,2.40461e+03, { 1.9e+00 } ,2.83836e+03, { 3.0e+00 } ,' MA-19 st7' run on 14 November 2022 at 16:18, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_13049.RUN
5.11105e+00, { 2.1e-03 } ,8.08806e-04, { 8.8e-07 } ,1.48276e-03, { 1.2e-06 } ,1.08341e-03, { 1.6e-05 } ,1.24938e-03, { 9.4e-07 } ,2.91541e-02, { 1.9e-05 } ,5.82571e-05, { 2.0e-07 } ,1.25014e-05, { 9.9e-08 } ,8.42604e-01, { 9.2e-04 } ,3.44698e+03, { 3.1e+00 } ,4.09087e+03, { 3.5e+00 } ,'LP6-A st2' run on 28 November 2022 at 12:25, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_13068.RUN
1.26315e+01, { 5.3e-03 } ,1.96156e-03, { 1.4e-06 } ,3.49118e-03, { 2.0e-06 } ,2.64649e-03, { 1.6e-05 } ,2.93585e-03, { 2.0e-06 } ,7.16165e-02, { 3.9e-05 } ,8.34181e-05, { 2.3e-07 } ,1.28232e-05, { 9.6e-08 } ,8.40934e-01, { 7.4e-04 } ,3.61810e+03, { 2.6e+00 } ,4.30248e+03, { 3.4e+00 } ,'LP6-A st3' run on 28 November 2022 at 12:41, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_13069.RUN
2.54630e+00, { 1.1e-03 } ,4.30914e-04, { 5.6e-07 } ,1.01286e-03, { 9.7e-07 } ,5.69500e-04, { 1.4e-05 } ,8.67075e-04, { 9.2e-07 } ,2.25633e-02, { 1.7e-05 } ,3.01388e-05, { 1.3e-07 } ,1.35093e-05, { 1.0e-07 } ,8.56069e-01, { 1.2e-03 } ,2.51398e+03, { 2.6e+00 } ,2.93666e+03, { 3.4e+00 } ,'E137 st5' run on 28 November 2022 at 15:21, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_13074.RUN
6.00440e+00, { 2.8e-03 } ,9.19921e-04, { 8.9e-07 } ,1.30873e-03, { 9.9e-07 } ,1.23790e-03, { 1.4e-05 } ,1.11129e-03, { 9.5e-07 } ,3.60731e-02, { 2.1e-05 } ,6.29907e-05, { 2.1e-07 } ,1.58400e-05, { 9.4e-08 } ,8.49134e-01, { 9.7e-04 } ,4.58796e+03, { 4.1e+00 } ,5.40311e+03, { 5.3e+00 } ,'LP6-C st2' run on 02 December 2022 at 16:35, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_13151.RUN
1.18720e+01, { 4.5e-03 } ,1.69661e-03, { 1.1e-06 } ,1.66310e-03, { 1.3e-06 } ,2.31336e-03, { 1.4e-05 } ,1.43201e-03, { 1.4e-06 } ,7.27743e-02, { 3.5e-05 } ,8.44681e-05, { 2.2e-07 } ,1.62206e-05, { 1.1e-07 } ,8.61051e-01, { 1.1e-03 } ,7.13846e+03, { 6.1e+00 } ,8.29041e+03, { 8.7e+00 } ,'LP6-C st3' run on 02 December 2022 at 16:54, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_13152.RUN
6.04803e+00, { 2.7e-03 } ,1.02638e-03, { 1.0e-06 } ,2.16862e-03, { 1.5e-06 } ,1.37507e-03, { 1.5e-05 } ,1.83326e-03, { 1.3e-06 } ,3.49494e-02, { 2.2e-05 } ,5.02709e-05, { 1.6e-07 } ,1.28288e-05, { 1.0e-07 } ,8.45360e-01, { 8.3e-04 } ,2.78889e+03, { 2.3e+00 } ,3.29905e+03, { 2.7e+00 } ,'LP6-B st2' run on 12 December 2022 at 12:51, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_13182.RUN
1.31713e+01, { 5.5e-03 } ,2.27452e-03, { 1.5e-06 } ,5.22969e-03, { 2.9e-06 } ,3.07074e-03, { 1.6e-05 } ,4.41640e-03, { 2.4e-06 } ,7.36882e-02, { 3.1e-05 } ,5.92217e-05, { 2.1e-07 } ,1.34036e-05, { 1.0e-07 } ,8.44486e-01, { 6.5e-04 } ,2.51857e+03, { 1.7e+00 } ,2.98236e+03, { 2.0e+00 } ,'LP6-B st3' run on 12 December 2022 at 13:06, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_13183.RUN
6.32660e-01, { 2.9e-04 } ,6.94915e-03, { 4.4e-06 } ,1.33819e-03, { 1.3e-06 } ,8.65084e-03, { 1.3e-05 } ,1.15198e-03, { 1.0e-06 } ,3.24974e-02, { 1.8e-05 } ,1.40090e-04, { 3.7e-07 } ,1.47543e-05, { 1.2e-07 } ,8.60849e-01, { 1.1e-03 } ,4.72772e+02, { 5.0e-01 } ,5.49193e+02, { 5.4e-01 } ,'VLC-01-1_st9' run on 13 December 2022 at 15:00, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_13204.RUN
