2.46369e+00, { 1.6e-03 } ,7.59780e+04, { 9.9e+01 } ,4.87741e+05, { 3.9e+02 } ,4.12945e+05, { 2.8e+02 } ,5.17541e+05, { 8.7e+02 } ,8.46649e-01, { 8.9e-04 } ,1.06110e+00, { 2.0e-03 } ,1.25329e+00, { 2.3e-03 } ,3.15272e+02, { 3.2e-01 } ,2.97119e+02, { 5.4e-01 } ,3.72377e+02, { 3.5e-01 } ,1.83991e-01, { 2.7e-04 } ,'Sample Name' run on 14 November 2022 at 13:38, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_13042.RUN
2.50642e+00, { 1.4e-03 } ,7.82621e+04, { 9.2e+01 } ,4.99554e+05, { 3.4e+02 } ,4.26474e+05, { 3.3e+02 } ,5.30629e+05, { 8.0e+02 } ,8.53710e-01, { 8.8e-04 } ,1.06221e+00, { 1.8e-03 } ,1.24422e+00, { 2.1e-03 } ,3.13156e+02, { 2.8e-01 } ,2.94817e+02, { 4.8e-01 } ,3.66818e+02, { 3.6e-01 } ,1.83510e-01, { 2.6e-04 } ,'pipetta n=5' run on 15 November 2022 at 10:52, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_13053.RUN
2.48063e+00, { 1.4e-03 } ,7.50302e+04, { 8.1e+01 } ,4.86737e+05, { 3.1e+02 } ,4.08811e+05, { 3.8e+02 } ,5.21635e+05, { 8.0e+02 } ,8.39901e-01, { 9.5e-04 } ,1.07170e+00, { 1.8e-03 } ,1.27598e+00, { 2.3e-03 } ,3.18094e+02, { 2.7e-01 } ,2.96814e+02, { 4.8e-01 } ,3.78728e+02, { 4.1e-01 } ,1.83533e-01, { 2.6e-04 } ,'Sample Name' run on 28 November 2022 at 10:38, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_13065.RUN
2.49517e+00, { 1.5e-03 } ,7.61449e+04, { 7.0e+01 } ,4.92662e+05, { 3.5e+02 } ,4.13860e+05, { 2.9e+02 } ,5.25587e+05, { 7.5e+02 } ,8.40049e-01, { 8.3e-04 } ,1.06683e+00, { 1.7e-03 } ,1.26996e+00, { 2.0e-03 } ,3.16112e+02, { 2.9e-01 } ,2.96309e+02, { 4.6e-01 } ,3.76302e+02, { 3.4e-01 } ,1.83987e-01, { 2.1e-04 } ,'Sample Name' run on 28 November 2022 at 11:11, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_13066.RUN
2.44952e+00, { 1.3e-03 } ,7.44197e+04, { 8.1e+01 } ,4.82667e+05, { 2.9e+02 } ,4.04714e+05, { 3.5e+02 } ,5.15508e+05, { 8.5e+02 } ,8.38496e-01, { 8.9e-04 } ,1.06804e+00, { 1.9e-03 } ,1.27376e+00, { 2.4e-03 } ,3.16754e+02, { 2.6e-01 } ,2.96575e+02, { 5.2e-01 } ,3.77764e+02, { 3.9e-01 } ,1.83882e-01, { 2.6e-04 } ,'Sample Name' run on 05 December 2022 at 10:45, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_13153.RUN
2.49726e+00, { 1.3e-03 } ,7.67162e+04, { 9.0e+01 } ,4.94785e+05, { 3.5e+02 } ,4.16758e+05, { 2.8e+02 } ,5.25717e+05, { 8.2e+02 } ,8.42301e-01, { 8.2e-04 } ,1.06251e+00, { 1.8e-03 } ,1.26144e+00, { 2.1e-03 } ,3.15018e+02, { 2.8e-01 } ,2.96483e+02, { 4.9e-01 } ,3.73997e+02, { 3.2e-01 } ,1.84078e-01, { 2.5e-04 } ,'Sample Name' run on 05 December 2022 at 11:34, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_13154.RUN
2.46427e+00, { 1.0e-03 } ,7.50906e+04, { 7.9e+01 } ,4.84215e+05, { 3.2e+02 } ,4.07616e+05, { 2.5e+02 } ,5.19087e+05, { 9.2e+02 } ,8.41808e-01, { 7.6e-04 } ,1.07202e+00, { 2.0e-03 } ,1.27347e+00, { 2.4e-03 } ,3.17643e+02, { 2.5e-01 } ,2.96304e+02, { 5.4e-01 } ,3.77334e+02, { 2.8e-01 } ,1.84219e-01, { 2.2e-04 } ,'Sample Name' run on 12 December 2022 at 10:45, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_13179.RUN
2.44741e+00, { 1.5e-03 } ,7.51866e+04, { 8.2e+01 } ,4.84000e+05, { 3.6e+02 } ,4.08706e+05, { 3.0e+02 } ,5.15105e+05, { 9.2e+02 } ,8.44434e-01, { 8.7e-04 } ,1.06427e+00, { 2.1e-03 } ,1.26033e+00, { 2.4e-03 } ,3.15610e+02, { 3.0e-01 } ,2.96551e+02, { 5.6e-01 } ,3.73753e+02, { 3.6e-01 } ,1.83963e-01, { 2.4e-04 } ,'Sample Name' run on 12 December 2022 at 11:12, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_13180.RUN
2.45216e+00, { 1.2e-03 } ,7.54138e+04, { 7.9e+01 } ,4.84423e+05, { 2.8e+02 } ,4.10826e+05, { 2.8e+02 } ,5.15142e+05, { 7.9e+02 } ,8.48073e-01, { 7.6e-04 } ,1.06341e+00, { 1.7e-03 } ,1.25392e+00, { 2.1e-03 } ,3.15946e+02, { 2.4e-01 } ,2.97105e+02, { 4.8e-01 } ,3.72546e+02, { 3.2e-01 } ,1.83566e-01, { 2.3e-04 } ,'Sample Name' run on 13 December 2022 at 11:19, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_13194.RUN
2.45119e+00, { 1.1e-03 } ,7.58882e+04, { 7.5e+01 } ,4.85729e+05, { 3.5e+02 } ,4.12133e+05, { 2.5e+02 } ,5.16080e+05, { 8.0e+02 } ,8.48483e-01, { 8.0e-04 } ,1.06248e+00, { 1.8e-03 } ,1.25222e+00, { 2.1e-03 } ,3.14972e+02, { 2.7e-01 } ,2.96449e+02, { 4.8e-01 } ,3.71218e+02, { 2.8e-01 } ,1.84135e-01, { 2.1e-04 } ,'Sample Name' run on 13 December 2022 at 11:37, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_13195.RUN
2.44208e+00, { 1.2e-03 } ,7.42646e+04, { 9.0e+01 } ,4.81376e+05, { 2.7e+02 } ,4.04112e+05, { 3.6e+02 } ,5.14853e+05, { 8.2e+02 } ,8.39493e-01, { 8.9e-04 } ,1.06955e+00, { 1.8e-03 } ,1.27404e+00, { 2.3e-03 } ,3.16639e+02, { 2.4e-01 } ,2.96050e+02, { 5.0e-01 } ,3.77179e+02, { 3.9e-01 } ,1.83773e-01, { 2.8e-04 } ,'Sample Name' run on 14 December 2022 at 10:54, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_13206.RUN
2.44906e+00, { 1.3e-03 } ,7.50634e+04, { 8.0e+01 } ,4.83620e+05, { 3.0e+02 } ,4.08593e+05, { 2.9e+02 } ,5.15159e+05, { 7.5e+02 } ,8.44864e-01, { 7.8e-04 } ,1.06522e+00, { 1.7e-03 } ,1.26081e+00, { 2.0e-03 } ,3.16070e+02, { 2.6e-01 } ,2.96720e+02, { 4.6e-01 } ,3.74108e+02, { 3.3e-01 } ,1.83712e-01, { 2.3e-04 } ,'Sample Name' run on 14 December 2022 at 11:13, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_13207.RUN
1.45183e+00, { 1.1e-03 } ,4.28548e+04, { 9.7e+01 } ,2.77011e+05, { 3.4e+02 } ,2.33050e+05, { 2.8e+02 } ,3.05070e+05, { 1.3e+03 } ,8.41301e-01, { 1.5e-03 } ,1.10129e+00, { 4.8e-03 } ,1.30903e+00, { 5.7e-03 } ,3.27121e+02, { 4.8e-01 } ,2.97034e+02, { 1.3e+00 } ,3.88827e+02, { 5.6e-01 } ,1.83887e-01, { 4.7e-04 } ,'Sample Name' run on 20 December 2022 at 10:42, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_13298.RUN
2.43686e+00, { 1.3e-03 } ,7.25877e+04, { 8.4e+01 } ,4.68633e+05, { 2.9e+02 } ,3.95545e+05, { 2.9e+02 } ,5.14331e+05, { 7.5e+02 } ,8.44040e-01, { 8.1e-04 } ,1.09751e+00, { 1.7e-03 } ,1.30031e+00, { 2.1e-03 } ,3.24553e+02, { 2.6e-01 } ,2.95717e+02, { 4.6e-01 } ,3.84523e+02, { 3.4e-01 } ,1.83513e-01, { 2.5e-04 } ,'Sample Name' run on 20 December 2022 at 11:30, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_13299.RUN
2.44984e+00, { 1.3e-03 } ,7.34014e+04, { 9.5e+01 } ,4.72966e+05, { 2.6e+02 } ,3.98964e+05, { 2.5e+02 } ,5.14219e+05, { 8.3e+02 } ,8.43536e-01, { 7.1e-04 } ,1.08722e+00, { 1.8e-03 } ,1.28889e+00, { 2.2e-03 } ,3.23293e+02, { 2.5e-01 } ,2.97357e+02, { 5.0e-01 } ,3.83260e+02, { 3.2e-01 } ,1.83980e-01, { 2.7e-04 } ,'Sample Name' run on 20 December 2022 at 11:57, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_13300.RUN
2.40995e+00, { 1.1e-03 } ,7.00777e+04, { 8.7e+01 } ,4.59090e+05, { 2.8e+02 } ,3.82621e+05, { 2.9e+02 } ,5.08000e+05, { 7.8e+02 } ,8.33433e-01, { 8.1e-04 } ,1.10654e+00, { 1.8e-03 } ,1.32768e+00, { 2.3e-03 } ,3.27641e+02, { 2.5e-01 } ,2.96096e+02, { 4.8e-01 } ,3.93122e+02, { 3.5e-01 } ,1.83152e-01, { 2.7e-04 } ,'Sample Name' run on 22 December 2022 at 12:43, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_13321.RUN
2.41405e+00, { 1.1e-03 } ,7.18402e+04, { 9.0e+01 } ,4.63825e+05, { 2.9e+02 } ,3.91799e+05, { 2.7e+02 } ,5.08609e+05, { 8.3e+02 } ,8.44713e-01, { 7.8e-04 } ,1.09655e+00, { 1.9e-03 } ,1.29814e+00, { 2.3e-03 } ,3.24849e+02, { 2.5e-01 } ,2.96246e+02, { 5.0e-01 } ,3.84567e+02, { 3.2e-01 } ,1.83360e-01, { 2.6e-04 } ,'Sample Name' run on 22 December 2022 at 13:05, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_13322.RUN
2.44636e+00, { 1.0e-03 } ,7.17155e+04, { 9.0e+01 } ,4.67893e+05, { 2.7e+02 } ,3.92015e+05, { 3.6e+02 } ,5.14367e+05, { 7.4e+02 } ,8.37829e-01, { 9.1e-04 } ,1.09933e+00, { 1.7e-03 } ,1.31211e+00, { 2.2e-03 } ,3.26334e+02, { 2.3e-01 } ,2.96849e+02, { 4.4e-01 } ,3.89499e+02, { 4.0e-01 } ,1.82941e-01, { 2.9e-04 } ,'Sample Name' run on 23 December 2022 at 10:01, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_13327.RUN
2.43007e+00, { 1.1e-03 } ,7.20791e+04, { 9.0e+01 } ,4.67056e+05, { 3.0e+02 } ,3.91895e+05, { 2.5e+02 } ,5.12948e+05, { 8.1e+02 } ,8.39075e-01, { 7.6e-04 } ,1.09826e+00, { 1.9e-03 } ,1.30889e+00, { 2.2e-03 } ,3.24742e+02, { 2.6e-01 } ,2.95688e+02, { 4.9e-01 } ,3.87024e+02, { 3.0e-01 } ,1.83924e-01, { 2.6e-04 } ,'Sample Name' run on 23 December 2022 at 10:19, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_13328.RUN
2.41008e+00, { 1.5e-03 } ,6.81564e+04, { 8.2e+01 } ,4.52947e+05, { 3.1e+02 } ,3.73052e+05, { 3.2e+02 } ,5.06882e+05, { 7.1e+02 } ,8.23610e-01, { 9.0e-04 } ,1.11907e+00, { 1.7e-03 } ,1.35874e+00, { 2.2e-03 } ,3.32103e+02, { 3.1e-01 } ,2.96766e+02, { 4.5e-01 } ,4.03228e+02, { 4.2e-01 } ,1.82700e-01, { 2.7e-04 } ,'Sample Name' run on 11 January 2023 at 10:43, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_13333.RUN
2.41434e+00, { 1.4e-03 } ,6.94893e+04, { 6.7e+01 } ,4.57884e+05, { 3.1e+02 } ,3.79288e+05, { 2.9e+02 } ,5.09060e+05, { 7.7e+02 } ,8.28350e-01, { 8.5e-04 } ,1.11177e+00, { 1.9e-03 } ,1.34214e+00, { 2.3e-03 } ,3.29104e+02, { 3.0e-01 } ,2.96019e+02, { 4.8e-01 } ,3.97300e+02, { 3.8e-01 } ,1.83210e-01, { 2.3e-04 } ,'Sample Name' run on 11 January 2023 at 11:06, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_13334.RUN
2.43223e+00, { 1.4e-03 } ,6.99278e+04, { 1.0e+02 } ,4.60085e+05, { 4.0e+02 } ,3.81004e+05, { 3.8e+02 } ,5.13726e+05, { 9.4e+02 } ,8.28116e-01, { 1.1e-03 } ,1.11659e+00, { 2.3e-03 } ,1.34835e+00, { 2.8e-03 } ,3.29955e+02, { 3.4e-01 } ,2.95503e+02, { 5.6e-01 } ,3.98441e+02, { 4.6e-01 } ,1.83536e-01, { 3.2e-04 } ,'Sample Name' run on 12 January 2023 at 10:30, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_13345.RUN
