5.96185e-01, { 2.6e-04 } ,2.98356e-04, { 3.9e-07 } ,1.84412e-03, { 1.2e-06 } ,3.85590e-04, { 1.5e-05 } ,1.57745e-03, { 1.1e-06 } ,1.80671e-04, { 1.5e-05 } ,3.88841e-06, { 5.3e-08 } ,1.28359e-05, { 9.4e-08 } ,1.36488e-04, { 3.9e-07 } ,7.21070e-06, { 8.2e-08 } ,1.32371e+00, { 1.1e-01 } ,8.55397e-01, { 8.2e-04 } ,3.23290e+02, { 2.6e-01 } ,3.77942e+02, { 3.1e-01 } ,'E115 st1' run on 23 September 2022 at 10:35, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_12897.RUN
6.08918e-01, { 2.5e-04 } ,1.39195e-04, { 3.1e-07 } ,7.05508e-04, { 7.9e-07 } ,1.62918e-04, { 1.6e-05 } ,6.03196e-04, { 7.2e-07 } ,1.28618e-03, { 1.6e-05 } ,1.04172e-05, { 8.6e-08 } ,1.37079e-05, { 1.0e-07 } ,1.01102e-03, { 1.1e-06 } ,1.29810e-05, { 9.4e-08 } ,1.27216e+00, { 1.6e-02 } ,8.54981e-01, { 1.4e-03 } ,8.63092e+02, { 1.0e+00 } ,1.00949e+03, { 1.3e+00 } ,'E115 st2' run on 23 September 2022 at 10:52, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_12898.RUN
1.17567e+00, { 4.7e-04 } ,1.11379e-04, { 2.9e-07 } ,4.87567e-04, { 5.6e-07 } ,1.35264e-04, { 1.6e-05 } ,4.15125e-04, { 4.3e-07 } ,3.02219e-03, { 1.5e-05 } ,1.50633e-05, { 1.1e-07 } ,1.39255e-05, { 1.1e-07 } ,2.43337e-03, { 1.8e-06 } ,2.06650e-05, { 1.3e-07 } ,1.24198e+00, { 6.2e-03 } ,8.51422e-01, { 1.3e-03 } ,2.41131e+03, { 2.9e+00 } ,2.83210e+03, { 3.2e+00 } ,'E115 st3' run on 23 September 2022 at 11:09, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_12899.RUN
1.63047e+00, { 6.6e-04 } ,1.28088e-04, { 2.8e-07 } ,5.45312e-04, { 6.3e-07 } ,1.43963e-04, { 1.3e-05 } ,4.65221e-04, { 5.9e-07 } ,4.25206e-03, { 1.5e-05 } ,1.57999e-05, { 1.3e-07 } ,1.37518e-05, { 1.0e-07 } ,3.44569e-03, { 2.3e-06 } ,2.22857e-05, { 1.3e-07 } ,1.23402e+00, { 4.4e-03 } ,8.53129e-01, { 1.5e-03 } ,2.98997e+03, { 3.6e+00 } ,3.50471e+03, { 4.7e+00 } ,'E115 st4' run on 23 September 2022 at 11:25, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_12900.RUN
1.85160e+00, { 8.1e-04 } ,2.13610e-04, { 3.6e-07 } ,1.03840e-03, { 8.1e-07 } ,2.66424e-04, { 1.5e-05 } ,8.92275e-04, { 8.4e-07 } ,4.47792e-03, { 1.5e-05 } ,1.44221e-05, { 1.2e-07 } ,1.43170e-05, { 9.4e-08 } ,3.62749e-03, { 2.1e-06 } ,2.09782e-05, { 1.2e-07 } ,1.23444e+00, { 4.2e-03 } ,8.59278e-01, { 1.1e-03 } ,1.78313e+03, { 1.6e+00 } ,2.07515e+03, { 2.2e+00 } ,'E115 st' run on 23 September 2022 at 11:41, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_12901.RUN
1.65621e+00, { 6.0e-04 } ,1.20435e-04, { 3.1e-07 } ,4.82984e-04, { 5.9e-07 } ,1.55976e-04, { 1.5e-05 } ,4.15764e-04, { 5.3e-07 } ,4.45995e-03, { 1.6e-05 } ,1.27301e-05, { 9.7e-08 } ,1.43340e-05, { 1.1e-07 } ,3.61118e-03, { 2.0e-06 } ,1.72986e-05, { 1.2e-07 } ,1.23504e+00, { 4.5e-03 } ,8.60824e-01, { 1.5e-03 } ,3.42912e+03, { 4.3e+00 } ,3.98353e+03, { 5.2e+00 } ,'E115 st6' run on 23 September 2022 at 11:57, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_12902.RUN
2.49571e+00, { 1.2e-03 } ,1.47948e-04, { 3.2e-07 } ,4.82988e-04, { 6.1e-07 } ,2.02855e-04, { 1.6e-05 } ,4.17211e-04, { 5.0e-07 } ,7.01016e-03, { 1.6e-05 } ,1.24350e-05, { 1.1e-07 } ,1.42218e-05, { 1.0e-07 } ,5.67386e-03, { 3.1e-06 } ,1.79433e-05, { 1.2e-07 } ,1.23552e+00, { 2.9e-03 } ,8.63813e-01, { 1.5e-03 } ,5.16722e+03, { 7.0e+00 } ,5.98187e+03, { 7.7e+00 } ,'E115 st7' run on 23 September 2022 at 12:13, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_12903.RUN
4.07882e+00, { 1.8e-03 } ,6.04675e-04, { 7.5e-07 } ,3.11607e-03, { 1.7e-06 } ,8.23302e-04, { 1.4e-05 } ,2.70275e-03, { 1.8e-06 } ,9.30643e-03, { 1.5e-05 } ,4.99203e-05, { 1.8e-07 } ,1.50948e-05, { 1.1e-07 } ,7.56155e-03, { 4.1e-06 } ,6.08567e-05, { 2.0e-07 } ,1.23076e+00, { 2.1e-03 } ,8.67359e-01, { 7.6e-04 } ,1.30897e+03, { 9.3e-01 } ,1.50914e+03, { 1.2e+00 } ,'Sample Name' run on 23 September 2022 at 13:24, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_12906.RUN
1.11601e+00, { 3.9e-04 } ,2.74730e-04, { 3.9e-07 } ,9.96571e-04, { 1.0e-06 } ,3.53835e-04, { 1.5e-05 } ,8.52248e-04, { 8.8e-07 } ,5.70101e-03, { 1.5e-05 } ,1.36130e-05, { 9.3e-08 } ,1.30395e-05, { 9.9e-08 } ,4.57463e-03, { 2.8e-06 } ,1.81303e-05, { 1.2e-07 } ,1.24622e+00, { 3.4e-03 } ,8.55180e-01, { 1.2e-03 } ,1.11985e+03, { 1.2e+00 } ,1.30949e+03, { 1.4e+00 } ,'LP6-B st1' run on 26 September 2022 at 11:50, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_12909.RUN
1.26226e-01, { 4.8e-05 } ,1.69663e-04, { 3.1e-07 } ,3.87149e-04, { 4.7e-07 } ,2.44585e-04, { 1.6e-05 } ,3.28048e-04, { 5.2e-07 } ,3.40245e-04, { 1.4e-05 } ,2.45859e-05, { 1.5e-07 } ,1.21295e-05, { 1.0e-07 } ,2.52301e-04, { 4.2e-07 } ,3.12249e-05, { 1.4e-07 } ,1.34857e+00, { 5.7e-02 } ,8.47341e-01, { 1.7e-03 } ,3.26039e+02, { 4.2e-01 } ,3.84779e+02, { 6.3e-01 } ,'E116 st1' run on 27 September 2022 at 10:15, Raw data stored in - C:\Nu Noble\Instrument Settings\Data_12912.RUN
